Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25-34,No,Travel_Frequently,below 500,Research & Development,< 10 km,1,Life Sciences,1,1513,4,Female,> 70,3,1,Laboratory Technician,2,Married,"< 5,000",4668,> 2 ,Y,No,13,3,3,80,3,4,3,3,3 - 5 years,2,0,2
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,1,Life Sciences,1,1514,3,Male,> 70,1,2,Manufacturing Director,2,Married,"5,000 - 10,000",3173,> 2 ,Y,No,14,3,2,80,2,8,2,2, 6 - 12 years,6,1,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,5,Life Sciences,1,1515,4,Male,40 - 70,3,2,Healthcare Representative,3,Single,"5,000 - 10,000",22049,> 2 ,Y,Yes,17,3,1,80,0,14,6,3,< 2 years,0,0,0
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,1516,3,Male,40 - 70,3,3,Manager,4,Single,">10,000",21072,> 2 ,Y,No,25,4,2,80,0,10,5,4,3 - 5 years,2,0,0
45-54,No,Travel_Frequently," >1,000",Research & Development,10 - 20 km,4,Medical,1,1520,2,Female,> 70,3,4,Manager,4,Divorced,">10,000",24456,> 5 years,Y,No,20,4,1,80,1,26,2,3,> 12 years,9,1,12
25-34,Yes,Travel_Rarely,below 500,Research & Development,< 10 km,4,Technical Degree,1,1522,1,Male,> 70,2,1,Research Scientist,1,Single,"< 5,000",7568,> 5 years,Y,No,13,3,3,80,0,11,2,1, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Life Sciences,1,1523,4,Male,<40,3,4,Research Director,1,Married,">10,000",22074,> 5 years,Y,No,13,3,3,80,1,24,1,4,> 12 years,6,14,17
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,1525,2,Female,<40,3,3,Manufacturing Director,2,Single,"5,000 - 10,000",9150,3 - 5 years,Y,No,18,3,4,80,0,9,3,3,< 2 years,0,2,2
45-54,No,Travel_Rarely,below 500,Sales,< 10 km,3,Life Sciences,1,1527,3,Female,40 - 70,3,4,Manager,2,Married,">10,000",11380,> 5 years,Y,No,12,3,4,80,1,23,2,4,> 12 years,12,5,1
35-44,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Life Sciences,1,1529,4,Female,> 70,2,3,Healthcare Representative,2,Single,"5,000 - 10,000",21195,> 2 ,Y,No,19,3,4,80,0,11,3,1, 6 - 12 years,8,3,3
<25,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,1,Life Sciences,1,1533,1,Male,> 70,3,2,Laboratory Technician,3,Single,"< 5,000",24812,> 2 ,Y,No,14,3,2,80,0,5,2,3,3 - 5 years,3,1,2
35-44,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1534,4,Male,> 70,3,1,Laboratory Technician,1,Single,"< 5,000",21831,> 5 years,Y,No,14,3,2,80,0,15,3,1,3 - 5 years,4,1,0
25-34,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Technical Degree,1,1535,4,Male,40 - 70,2,3,Sales Executive,3,Married,"5,000 - 10,000",12288,> 2 ,Y,Yes,14,3,4,80,0,10,3,3, 6 - 12 years,9,8,6
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1537,4,Female,<40,3,1,Research Scientist,3,Single,"< 5,000",4156,> 2 ,Y,No,12,3,1,80,0,7,2,1, 6 - 12 years,2,7,7
45-54,No,Travel_Frequently,below 500,Research & Development,> 20km,5,Medical,1,1539,3,Male,> 70,1,4,Research Director,4,Single,">10,000",24450,> 2 ,Y,Yes,13,3,4,80,0,32,2,3,> 12 years,6,13,9
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Technical Degree,1,1541,2,Male,40 - 70,3,1,Sales Representative,3,Married,"< 5,000",4944,> 2 ,Y,Yes,25,4,2,80,1,12,4,3, 6 - 12 years,10,5,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,1542,3,Male,40 - 70,2,1,Laboratory Technician,2,Married,"< 5,000",24052,3 - 5 years,Y,No,14,3,2,80,1,4,3,3,< 2 years,0,0,0
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Medical,1,1543,1,Male,40 - 70,3,2,Research Scientist,4,Married,"< 5,000",3031,> 2 ,Y,No,17,3,1,80,0,10,2,3, 6 - 12 years,8,3,7
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,1,Other,1,1544,3,Female,<40,1,2,Healthcare Representative,1,Married,"5,000 - 10,000",7288,> 5 years,Y,No,13,3,3,80,1,9,3,3, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,3,Life Sciences,1,1545,4,Male,40 - 70,2,2,Manufacturing Director,2,Single,"< 5,000",24152,> 2 ,Y,No,13,3,4,80,0,5,2,3,3 - 5 years,3,0,2
45-54,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,3,Technical Degree,1,1546,4,Male,> 70,3,1,Research Scientist,4,Married,"< 5,000",4585,3 - 5 years,Y,No,20,4,4,80,1,8,3,3,3 - 5 years,4,0,3
35-44,No,Travel_Frequently,below 500,Research & Development,< 10 km,3,Life Sciences,1,1547,4,Male,<40,3,3,Healthcare Representative,4,Married,">10,000",18611,> 2 ,Y,Yes,14,3,3,80,1,24,3,1,> 12 years,8,13,9
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Medical,1,1548,1,Male,40 - 70,3,2,Sales Executive,1,Married,"5,000 - 10,000",19345,> 2 ,Y,No,12,3,4,80,0,9,5,4, 6 - 12 years,4,7,1
25-34,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,4,Life Sciences,1,1549,2,Male,> 70,3,2,Laboratory Technician,3,Married,"5,000 - 10,000",22949,> 2 ,Y,Yes,12,3,2,80,1,15,3,3,> 12 years,14,5,7
35-44,No,Travel_Rarely,500 - 1000,Human Resources,< 10 km,2,Medical,1,1550,3,Male,<40,3,4,Manager,4,Single,">10,000",17381,> 2 ,Y,Yes,21,4,4,80,0,21,2,3,> 12 years,7,7,7
<25,No,Travel_Rarely,below 500,Research & Development,> 20km,2,Technical Degree,1,1551,3,Male,40 - 70,2,1,Laboratory Technician,1,Divorced,"< 5,000",10036,> 2 ,Y,No,14,3,2,80,3,2,3,3,< 2 years,1,0,0
35-44,No,Non-Travel," >1,000",Research & Development,< 10 km,2,Life Sciences,1,1552,4,Male,> 70,3,2,Healthcare Representative,4,Divorced,"< 5,000",8841,> 5 years,Y,Yes,18,3,3,80,0,8,2,3,< 2 years,2,2,2
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Technical Degree,1,1553,1,Male,40 - 70,3,3,Healthcare Representative,2,Divorced,"5,000 - 10,000",20933,> 2 ,Y,No,12,3,1,80,3,10,4,3, 6 - 12 years,8,7,7
35-44,No,Travel_Rarely," >1,000",Sales,> 20km,4,Life Sciences,1,1554,2,Female,> 70,2,1,Sales Representative,3,Married,"< 5,000",26204,> 2 ,Y,No,23,4,1,80,2,6,5,3,3 - 5 years,3,4,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,1555,4,Female,40 - 70,2,2,Research Scientist,2,Married,"5,000 - 10,000",15624,> 5 years,Y,No,12,3,1,80,1,12,2,3, 6 - 12 years,1,2,5
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,1556,3,Male,40 - 70,3,1,Sales Representative,4,Single,"< 5,000",17001,> 5 years,Y,Yes,21,4,4,80,0,7,3,2,3 - 5 years,2,1,2
45-54,No,Travel_Rarely,below 500,Sales,10 - 20 km,4,Life Sciences,1,1557,3,Female,> 70,3,2,Sales Executive,3,Divorced,"5,000 - 10,000",13693,> 5 years,Y,No,14,3,3,80,1,18,2,3, 6 - 12 years,7,7,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1558,3,Male,> 70,4,1,Research Scientist,3,Married,"< 5,000",22376,> 5 years,Y,No,18,3,1,80,2,5,2,2,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,1560,1,Male,40 - 70,3,2,Sales Executive,1,Married,"5,000 - 10,000",10589,> 2 ,Y,No,13,3,4,80,1,8,6,1,< 2 years,2,2,2
25-34,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Life Sciences,1,1562,2,Male,40 - 70,2,2,Sales Executive,1,Married,"5,000 - 10,000",5323,> 2 ,Y,No,11,3,4,80,1,10,4,3, 6 - 12 years,8,6,7
35-44,No,Travel_Frequently,500 - 1000,Human Resources,< 10 km,4,Human Resources,1,1563,3,Male,> 70,3,2,Human Resources,3,Married,"5,000 - 10,000",14814,> 5 years,Y,No,11,3,3,80,0,10,2,3, 6 - 12 years,3,1,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,1564,4,Male,40 - 70,2,1,Laboratory Technician,1,Single,"< 5,000",21731,> 2 ,Y,No,19,3,2,80,0,3,3,3,3 - 5 years,0,1,2
25-34,No,Travel_Rarely," >1,000",Sales,> 20km,4,Technical Degree,1,1568,3,Male,<40,3,3,Sales Executive,2,Married,"5,000 - 10,000",17799,> 5 years,Y,No,12,3,2,80,1,9,3,3,3 - 5 years,2,1,3
35-44,Yes,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,1569,1,Female,40 - 70,3,1,Laboratory Technician,1,Divorced,"< 5,000",26619,> 2 ,Y,Yes,12,3,4,80,1,1,2,3,< 2 years,0,0,0
45-54,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,5,Technical Degree,1,1572,3,Female,> 70,2,3,Manufacturing Director,4,Married,">10,000",14618,> 2 ,Y,No,16,3,2,80,1,34,4,3,> 12 years,7,1,9
35-44,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,1573,3,Male,> 70,3,2,Manufacturing Director,2,Married,"< 5,000",7653,3 - 5 years,Y,No,11,3,1,80,2,7,2,3,3 - 5 years,2,1,4
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,4,Technical Degree,1,1574,4,Male,40 - 70,3,2,Research Scientist,1,Married,"< 5,000",25174,3 - 5 years,Y,No,14,3,2,80,1,9,3,2, 6 - 12 years,5,1,2
45-54,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,4,Other,1,1576,3,Female,40 - 70,3,1,Research Scientist,1,Married,"< 5,000",16530,> 5 years,Y,No,12,3,4,80,1,10,3,2, 6 - 12 years,2,7,6
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Medical,1,1577,1,Male,<40,3,1,Research Scientist,4,Single,"< 5,000",22061,> 2 ,Y,No,13,3,3,80,0,1,4,1,< 2 years,0,0,0
>55,No,Travel_Rarely,500 - 1000,Sales,> 20km,5,Marketing,1,1578,3,Male,40 - 70,2,5,Manager,4,Married,">10,000",23037,> 2 ,Y,No,21,4,3,80,1,36,3,3,> 12 years,6,2,13
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1580,2,Male,40 - 70,3,2,Research Scientist,4,Married,"5,000 - 10,000",13008,> 5 years,Y,No,17,3,2,80,1,9,3,2,< 2 years,2,2,1
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,1581,1,Female,> 70,3,1,Research Scientist,4,Married,"< 5,000",11133,> 2 ,Y,No,21,4,1,80,0,1,5,3,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Sales,10 - 20 km,3,Life Sciences,1,1582,3,Male,> 70,3,2,Sales Executive,2,Married,"5,000 - 10,000",12355,> 2 ,Y,No,11,3,4,80,1,10,3,3, 6 - 12 years,8,7,7
35-44,No,Travel_Rarely,below 500,Sales,10 - 20 km,3,Life Sciences,1,1583,2,Female,> 70,3,2,Sales Executive,2,Single,"< 5,000",16379,> 2 ,Y,No,12,3,2,80,0,8,5,4,3 - 5 years,2,1,2
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Life Sciences,1,1585,2,Female,> 70,3,2,Sales Executive,3,Single,"5,000 - 10,000",21447,> 5 years,Y,No,13,3,1,80,0,15,5,3,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Medical,1,1586,2,Male,> 70,3,1,Laboratory Technician,1,Single,"< 5,000",16213,> 2 ,Y,Yes,18,3,4,80,0,10,3,3, 6 - 12 years,9,1,5
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Medical,1,1587,1,Female,40 - 70,3,2,Healthcare Representative,3,Single,"5,000 - 10,000",4223,> 5 years,Y,Yes,16,3,3,80,0,10,4,3,3 - 5 years,2,0,4
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Medical,1,1588,4,Male,<40,4,3,Sales Executive,3,Married,"5,000 - 10,000",4658,> 2 ,Y,No,11,3,1,80,1,11,3,3, 6 - 12 years,6,7,6
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,1590,1,Male,> 70,3,2,Healthcare Representative,4,Divorced,"5,000 - 10,000",24483,> 2 ,Y,No,19,3,4,80,1,6,0,4, 6 - 12 years,4,1,3
45-54,No,Travel_Rarely,below 500,Sales,< 10 km,3,Marketing,1,1591,3,Male,40 - 70,3,5,Manager,3,Married,">10,000",19519,3 - 5 years,Y,Yes,16,3,3,80,1,27,2,3,< 2 years,0,0,0
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Technical Degree,1,1592,4,Male,40 - 70,4,1,Research Scientist,3,Married,"< 5,000",12826,> 2 ,Y,No,16,3,4,80,1,4,2,3,< 2 years,2,2,2
35-44,No,Travel_Frequently," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1594,1,Male,> 70,4,2,Laboratory Technician,1,Married,"5,000 - 10,000",19711,> 5 years,Y,Yes,13,3,4,80,1,9,3,3,3 - 5 years,2,0,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Other,1,1595,4,Male,> 70,2,5,Manager,4,Single,">10,000",26362,> 5 years,Y,No,22,4,4,80,0,24,2,3,< 2 years,0,0,1
35-44,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,3,Life Sciences,1,1596,2,Male,40 - 70,4,2,Laboratory Technician,3,Married,"< 5,000",25348,> 2 ,Y,No,17,3,4,80,2,10,3,2, 6 - 12 years,9,6,8
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,4,Technical Degree,1,1597,4,Male,> 70,2,2,Healthcare Representative,3,Married,"5,000 - 10,000",15332,> 2 ,Y,No,14,3,2,80,1,8,3,2, 6 - 12 years,2,7,7
35-44,No,Travel_Rarely,below 500,Sales,10 - 20 km,2,Life Sciences,1,1598,4,Female,> 70,3,2,Sales Executive,1,Married,"< 5,000",11262,> 2 ,Y,No,15,3,3,80,1,5,2,3,3 - 5 years,4,1,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,3,Technical Degree,1,1599,4,Male,> 70,4,1,Laboratory Technician,2,Divorced,"< 5,000",5855,3 - 5 years,Y,No,12,3,3,80,1,8,0,3, 6 - 12 years,4,0,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Life Sciences,1,1601,3,Male,40 - 70,2,1,Laboratory Technician,4,Married,"< 5,000",7713,> 2 ,Y,No,18,3,4,80,1,1,5,2,< 2 years,0,0,1
45-54,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Life Sciences,1,1602,4,Male,40 - 70,4,4,Manager,1,Single,">10,000",3156,> 2 ,Y,No,15,3,2,80,0,27,5,1,> 12 years,0,0,12
25-34,Yes,Travel_Rarely,below 500,Research & Development,> 20km,3,Medical,1,1604,3,Male,40 - 70,3,1,Laboratory Technician,2,Married,"< 5,000",7324,> 2 ,Y,Yes,17,3,3,80,3,1,3,3,< 2 years,1,0,0
<25,No,Non-Travel,below 500,Research & Development,> 20km,2,Other,1,1605,2,Female,> 70,2,1,Research Scientist,3,Married,"< 5,000",10293,> 2 ,Y,Yes,14,3,2,80,0,4,2,2,3 - 5 years,2,1,3
45-54,No,Travel_Frequently," >1,000",Research & Development,10 - 20 km,5,Medical,1,1606,2,Male,40 - 70,3,4,Healthcare Representative,3,Married,">10,000",20689,> 2 ,Y,Yes,15,3,3,80,1,32,3,3,> 12 years,8,12,13
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Other,1,1607,2,Female,<40,4,1,Research Scientist,4,Married,"< 5,000",18783,> 5 years,Y,No,17,3,4,80,2,6,3,3,3 - 5 years,2,0,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,1608,2,Female,<40,3,5,Research Director,4,Divorced,">10,000",3549,> 2 ,Y,Yes,14,3,4,80,1,23,4,2,> 12 years,7,1,10
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,1609,2,Male,40 - 70,2,1,Research Scientist,2,Married,"< 5,000",5348,> 2 ,Y,No,12,3,2,80,1,6,3,2, 6 - 12 years,4,1,1
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,5,Medical,1,1611,3,Female,40 - 70,1,2,Laboratory Technician,1,Single,"5,000 - 10,000",23447,> 2 ,Y,Yes,14,3,1,80,0,10,3,3, 6 - 12 years,7,1,4
45-54,No,Non-Travel,below 500,Sales,> 20km,3,Marketing,1,1612,1,Male,40 - 70,2,2,Sales Executive,1,Married,"< 5,000",24162,> 2 ,Y,No,15,3,1,80,1,10,2,3, 6 - 12 years,7,4,5
25-34,No,Travel_Frequently,500 - 1000,Sales,< 10 km,4,Other,1,1613,4,Male,40 - 70,3,2,Sales Executive,1,Single,"5,000 - 10,000",21602,> 5 years,Y,No,13,3,4,80,0,10,3,3,3 - 5 years,2,0,3
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,4,Life Sciences,1,1614,3,Female,> 70,3,2,Manufacturing Director,3,Married,"< 5,000",12421,> 5 years,Y,Yes,12,3,2,80,2,7,2,3,3 - 5 years,2,1,1
25-34,No,Travel_Frequently,below 500,Research & Development,< 10 km,4,Life Sciences,1,1615,3,Male,40 - 70,4,2,Manufacturing Director,4,Divorced,"< 5,000",17000,> 2 ,Y,No,13,3,1,80,1,9,3,3, 6 - 12 years,7,7,2
45-54,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,4,Life Sciences,1,1617,3,Female,> 70,3,1,Laboratory Technician,1,Married,"< 5,000",22102,> 2 ,Y,No,14,3,4,80,1,10,3,2, 6 - 12 years,6,1,4
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,5,Medical,1,1618,2,Male,> 70,3,2,Manufacturing Director,1,Married,"5,000 - 10,000",3835,> 2 ,Y,No,13,3,4,80,3,10,3,3, 6 - 12 years,7,7,7
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Other,1,1619,4,Male,40 - 70,2,1,Laboratory Technician,1,Divorced,"< 5,000",16290,> 2 ,Y,No,11,3,1,80,2,7,3,3, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,5,Life Sciences,1,1621,2,Male,40 - 70,4,2,Research Scientist,1,Married,"5,000 - 10,000",26312,> 2 ,Y,No,11,3,4,80,0,16,2,3,> 12 years,15,1,10
25-34,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,3,Medical,1,1622,2,Female,<40,1,2,Manufacturing Director,1,Divorced,"< 5,000",20460,> 2 ,Y,No,21,4,2,80,1,6,5,2,3 - 5 years,3,0,0
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,1623,3,Male,> 70,3,1,Research Scientist,4,Single,"< 5,000",26009,> 2 ,Y,No,18,3,3,80,0,3,2,3,< 2 years,2,2,2
<25,Yes,Travel_Frequently,500 - 1000,Sales,< 10 km,2,Medical,1,1624,2,Female,40 - 70,3,1,Sales Representative,4,Single,"< 5,000",18420,> 2 ,Y,Yes,12,3,3,80,0,0,2,4,< 2 years,0,0,0
45-54,No,Travel_Rarely," >1,000",Human Resources,> 20km,4,Life Sciences,1,1625,4,Female,> 70,3,5,Manager,3,Married,">10,000",5220,> 5 years,Y,No,11,3,3,80,1,27,2,3,3 - 5 years,2,1,0
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,1627,3,Male,> 70,2,2,Laboratory Technician,3,Divorced,"< 5,000",10302,> 2 ,Y,No,15,3,4,80,1,11,3,3, 6 - 12 years,8,0,7
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Life Sciences,1,1628,1,Female,> 70,2,3,Manufacturing Director,3,Married,">10,000",25800,> 2 ,Y,No,13,3,4,80,2,18,2,3,> 12 years,15,14,12
35-44,No,Non-Travel,below 500,Research & Development,< 10 km,4,Life Sciences,1,1630,3,Female,40 - 70,3,2,Healthcare Representative,3,Married,"< 5,000",12250,> 2 ,Y,No,12,3,4,80,1,15,5,3,> 12 years,11,2,9
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Life Sciences,1,1631,3,Male,> 70,3,2,Manufacturing Director,3,Married,"5,000 - 10,000",26493,> 5 years,Y,No,17,3,1,80,3,9,2,2,3 - 5 years,3,0,2
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Medical,1,1633,1,Female,> 70,3,2,Manufacturing Director,3,Single,"5,000 - 10,000",3140,> 2 ,Y,No,13,3,4,80,0,10,2,1, 6 - 12 years,2,3,8
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Other,1,1635,4,Female,40 - 70,2,2,Manufacturing Director,4,Divorced,"5,000 - 10,000",5388,> 2 ,Y,No,19,3,1,80,2,10,3,3, 6 - 12 years,7,3,9
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,1638,4,Female,40 - 70,2,3,Manufacturing Director,3,Married,"5,000 - 10,000",14199,> 5 years,Y,Yes,19,3,4,80,1,10,6,4,3 - 5 years,4,0,2
35-44,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Medical,1,1639,4,Male,40 - 70,2,3,Sales Executive,1,Married,">10,000",21530,> 5 years,Y,No,17,3,3,80,0,15,3,3,> 12 years,12,6,0
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,1640,2,Female,> 70,3,1,Research Scientist,2,Married,"< 5,000",9953,> 2 ,Y,No,11,3,1,80,1,8,2,1, 6 - 12 years,4,7,7
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,3,Life Sciences,1,1641,3,Female,> 70,3,3,Manufacturing Director,4,Single,"5,000 - 10,000",19948,> 5 years,Y,Yes,15,3,4,80,0,18,2,2,3 - 5 years,2,3,3
35-44,No,Travel_Frequently,500 - 1000,Human Resources,< 10 km,5,Human Resources,1,1642,1,Male,<40,3,2,Human Resources,4,Married,"5,000 - 10,000",10503,3 - 5 years,Y,Yes,11,3,3,80,0,14,3,3, 6 - 12 years,7,0,2
45-54,No,Travel_Frequently,below 500,Research & Development,< 10 km,5,Medical,1,1644,3,Male,> 70,2,4,Manager,4,Married,">10,000",5602,> 2 ,Y,No,25,4,2,80,1,23,3,3,< 2 years,2,2,2
35-44,Yes,Travel_Rarely,500 - 1000,Sales,10 - 20 km,2,Medical,1,1645,1,Male,40 - 70,1,2,Sales Executive,4,Divorced,"5,000 - 10,000",22098,> 5 years,Y,Yes,14,3,4,80,2,7,2,2,< 2 years,2,2,2
<25,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,1,Technical Degree,1,1646,1,Female,<40,3,1,Research Scientist,4,Single,"< 5,000",17218,> 2 ,Y,Yes,13,3,3,80,0,6,2,3, 6 - 12 years,3,1,3
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,1647,2,Female,> 70,4,1,Research Scientist,3,Married,"< 5,000",22490,> 5 years,Y,No,17,3,1,80,0,5,0,3,3 - 5 years,2,0,2
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Medical,1,1648,4,Male,> 70,3,1,Research Scientist,4,Single,"< 5,000",6297,> 2 ,Y,No,13,3,3,80,0,6,0,2,3 - 5 years,2,1,2
35-44,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,1649,1,Male,> 70,3,1,Laboratory Technician,1,Single,"< 5,000",3339,> 5 years,Y,Yes,14,3,2,80,0,10,3,1,3 - 5 years,2,0,3
25-34,No,Travel_Rarely,below 500,Sales,< 10 km,3,Medical,1,1650,3,Male,40 - 70,2,2,Sales Executive,3,Single,"5,000 - 10,000",23413,> 5 years,Y,No,11,3,3,80,0,8,2,3,3 - 5 years,2,1,4
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1651,2,Female,40 - 70,3,3,Healthcare Representative,1,Married,"5,000 - 10,000",22792,3 - 5 years,Y,No,12,3,3,80,2,9,6,3,3 - 5 years,2,0,2
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,1653,4,Male,> 70,4,2,Manufacturing Director,3,Divorced,"5,000 - 10,000",4973,> 2 ,Y,No,17,3,3,80,2,7,6,3, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,3,Medical,1,1654,4,Male,40 - 70,3,2,Manufacturing Director,2,Married,"5,000 - 10,000",7693,3 - 5 years,Y,No,21,4,3,80,0,7,3,3,3 - 5 years,4,1,0
45-54,No,Travel_Rarely,below 500,Research & Development,> 20km,4,Other,1,1655,1,Female,> 70,3,4,Research Director,2,Married,">10,000",3498,> 5 years,Y,No,16,3,2,80,2,27,2,3,3 - 5 years,2,1,2
45-54,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,5,Life Sciences,1,1656,4,Female,40 - 70,2,3,Research Director,1,Divorced,">10,000",21981,3 - 5 years,Y,No,15,3,3,80,3,19,3,3,> 12 years,11,1,11
<25,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Medical,1,1657,3,Female,<40,3,1,Sales Representative,3,Single,"< 5,000",13251,> 2 ,Y,No,19,3,1,80,0,2,3,3,< 2 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,1658,4,Female,40 - 70,3,2,Research Scientist,2,Divorced,"5,000 - 10,000",19332,> 2 ,Y,No,12,3,3,80,1,11,2,3, 6 - 12 years,8,7,9
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,1659,1,Male,> 70,3,1,Laboratory Technician,2,Single,"< 5,000",10950,> 2 ,Y,No,11,3,3,80,0,15,4,3,3 - 5 years,3,1,3
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,1,Life Sciences,1,1661,3,Female,40 - 70,2,4,Healthcare Representative,3,Married,">10,000",11652,> 2 ,Y,Yes,19,3,2,80,1,30,3,3,> 12 years,11,2,12
